0.9942425739921541, -456.0750668325823
1.9839601802842406, -330.37503646766737
2.9768631256809828, -262.2022303327639
3.971582012062613, -226.82531838506287
4.966777210833727, -200.05060819138234
5.961823561983128, -170.5877099495704
6.957227147424642, -147.57646302327385
7.953285662401689, -136.3932435087552
8.966163958632276, -128.97527343308107
9.962609477425772, -124.78134284370401
10.959114535267958, -121.6626874735795
11.95570890168317, -120.15694493233386
12.95230326809839, -118.65120239108816
13.948927404037946, -117.68309745946874
14.945611079026186, -117.79026774710186
15.942294754014426, -117.89743803473502
